# observed, predict
53.0000,53.3433
60.0000,58.7498
55.0000,51.4344
36.0000,32.8215
35.0000,32.0179
34.0000,32.4401
27.0000,27.5703
25.0000,26.1322
25.0000,26.2284
21.0000,24.5382
29.0000,30.9852
27.0000,30.2794
19.0000,24.6314
22.0000,25.4023
29.0000,31.3404
27.0000,30.3048
28.0000,30.9630
29.0000,31.0154
44.0000,44.9500
44.0000,44.8594
37.0000,39.2312
44.0000,45.9522
51.0000,52.5264
46.0000,46.5315
49.0000,49.1542
33.0000,32.5273
43.0000,40.9147
47.0000,44.5151
37.0000,34.2034
35.0000,32.3787
25.0000,24.8219
26.0000,24.6684
23.0000,22.9649
28.0000,26.3123
24.0000,23.5938
24.0000,23.8955
25.0000,24.7569
24.0000,24.1262
39.0000,38.0872
38.0000,38.1636
46.0000,47.6128
36.0000,36.5022
46.0000,46.5678
29.0000,31.2471
39.0000,39.8624
53.0000,53.2178
44.0000,42.7831
41.0000,40.6421
40.0000,40.2022
31.0000,31.4928
21.0000,23.0815
26.0000,24.7740
21.0000,21.4339
21.0000,21.1645
28.0000,26.4333
21.0000,22.1711
17.0000,18.8665
18.0000,18.6608
10.0000,14.7573
15.0000,16.2299
26.0000,26.0298
14.0000,19.6416
19.0000,20.5109
26.0000,25.5874
34.0000,34.0336
24.0000,26.2466
20.0000,22.7720
17.0000,19.6675
39.0000,37.2470
47.0000,46.7540
38.0000,35.8892
37.0000,33.7541
49.0000,44.9985
55.0000,50.6454
30.0000,27.8214
34.0000,30.1396
24.0000,23.1609
21.0000,20.3035
27.0000,24.3662
37.0000,34.0497
19.0000,20.2698
24.0000,22.0580
20.0000,20.0778
27.0000,24.5031
29.0000,27.9420
31.0000,30.3589
32.0000,30.6444
38.0000,35.3647
35.0000,32.9360
34.0000,33.3404
31.0000,31.8763
34.0000,34.1991
65.0000,58.4461
76.0000,66.2450
75.0000,66.7469
62.0000,57.3932
66.0000,60.9456
38.0000,33.7999
31.0000,27.8255
26.0000,24.8573
29.0000,27.2169
26.0000,25.5308
26.0000,24.6674
24.0000,23.7801
23.0000,22.8822
21.0000,21.9652
18.0000,19.9096
23.0000,23.0200
19.0000,21.2242
22.0000,22.9114
37.0000,36.3241
74.0000,60.4380
81.0000,66.9173
78.0000,67.8813
74.0000,67.1420
69.0000,65.1221
80.0000,69.0931
67.0000,62.9426
46.0000,43.1854
52.0000,48.7921
50.0000,46.6095
49.0000,46.0200
33.0000,31.2079
17.0000,20.2879
20.0000,19.8540
19.0000,19.3486
25.0000,23.5260
24.0000,23.3652
35.0000,32.7102
34.0000,32.3289
33.0000,31.9347
31.0000,31.3691
35.0000,36.6225
66.0000,61.5994
101.0000,70.9000
55.0000,50.4514
49.0000,48.9777
57.0000,58.3656
61.0000,60.7936
75.0000,67.8224
97.0000,71.2326
86.0000,69.8885
78.0000,67.7882
42.0000,37.8372
25.0000,24.5117
22.0000,21.2797
18.0000,18.9344
20.0000,19.9526
22.0000,22.1738
28.0000,27.7366
21.0000,23.7144
20.0000,21.7732
18.0000,19.9992
21.0000,21.8821
28.0000,29.4425
23.0000,27.1569
27.0000,29.3294
39.0000,40.9043
21.0000,26.1801
44.0000,44.5783
78.0000,65.2318
72.0000,65.5618
80.0000,68.7154
64.0000,59.9107
49.0000,45.9348
47.0000,43.3484
50.0000,45.9932
49.0000,44.6686
40.0000,35.5373
34.0000,31.0448
22.0000,22.8529
25.0000,23.6718
38.0000,35.0116
30.0000,27.9439
32.0000,29.7800
33.0000,31.1503
45.0000,43.0650
50.0000,48.1973
70.0000,63.9227
55.0000,50.0216
39.0000,37.0935
40.0000,41.3742
37.0000,39.1575
48.0000,50.5240
51.0000,52.9132
38.0000,39.6423
36.0000,37.4415
36.0000,37.2150
26.0000,28.7661
29.0000,29.5190
31.0000,30.3002
31.0000,30.0009
24.0000,24.6788
33.0000,31.7843
36.0000,35.5975
32.0000,32.0169
34.0000,34.1497
27.0000,28.9680
33.0000,34.5943
48.0000,50.0346
67.0000,63.8864
33.0000,33.4862
39.0000,37.9072
50.0000,49.6792
52.0000,52.1474
59.0000,59.5889
52.0000,50.5404
44.0000,42.0446
61.0000,57.2691
63.0000,58.3638
70.0000,63.3385
72.0000,64.3914
84.0000,68.4860
74.0000,64.6955
78.0000,67.2433
92.0000,70.3028
45.0000,39.9468
39.0000,36.7157
52.0000,50.5298
44.0000,41.9149
38.0000,38.8497
29.0000,31.9355
36.0000,36.3335
40.0000,40.2168
42.0000,44.0990
39.0000,41.8206
43.0000,45.9333
65.0000,63.1874
135.0000,71.7116
124.0000,72.2096
81.0000,69.4440
77.0000,68.9068
87.0000,70.6578
83.0000,70.0003
50.0000,49.7657
47.0000,49.4661
46.0000,48.7461
41.0000,42.0300
37.0000,38.3632
29.0000,31.3813
30.0000,31.3597
40.0000,39.8219
29.0000,29.9466
28.0000,28.7448
23.0000,25.3375
26.0000,27.0798
25.0000,26.9016
16.0000,21.3422
29.0000,30.4240
28.0000,31.3695
35.0000,38.4157
24.0000,28.8748
22.0000,26.1164
32.0000,33.7561
29.0000,31.6784
39.0000,41.3684
96.0000,66.8919
105.0000,71.2530
97.0000,70.9993
69.0000,61.8110
50.0000,45.6918
41.0000,37.8316
46.0000,44.2283
50.0000,48.0833
41.0000,37.8873
34.0000,31.6164
27.0000,25.9242
28.0000,26.2757
22.0000,22.4308
26.0000,24.7552
22.0000,23.2104
19.0000,20.6102
22.0000,21.9557
27.0000,25.8486
23.0000,23.9692
19.0000,21.5627
22.0000,22.9201
24.0000,26.1624
28.0000,30.6216
32.0000,34.6525
68.0000,60.8970
45.0000,42.1056
63.0000,59.5403
70.0000,64.2467
67.0000,62.9990
38.0000,36.0277
29.0000,27.8419
37.0000,34.0976
40.0000,36.9769
40.0000,37.6088
30.0000,28.4059
24.0000,23.7085
20.0000,20.3255
23.0000,21.7967
22.0000,21.8293
29.0000,27.4052
16.0000,19.1375
22.0000,20.9035
28.0000,26.4366
31.0000,30.4201
48.0000,48.0983
51.0000,51.4461
59.0000,59.8245
79.0000,68.6315
63.0000,59.7360
72.0000,66.4157
60.0000,56.1832
54.0000,51.2525
43.0000,40.6126
50.0000,48.8693
47.0000,45.3778
33.0000,32.0369
38.0000,35.1990
30.0000,27.9333
14.0000,18.4007
18.0000,18.4913
25.0000,23.6179
24.0000,23.9582
22.0000,22.1335
24.0000,24.1818
25.0000,25.6161
73.0000,57.2983
62.0000,58.6116
47.0000,47.2273
35.0000,36.4304
43.0000,44.8075
40.0000,41.3066
40.0000,42.1366
56.0000,57.0295
67.0000,63.9147
75.0000,67.3913
50.0000,45.5467
46.0000,43.3724
